Model,R²,MSE,RMSE
Baseline,-0.0008510931297065483,240170.14537354972,490.07157168473844
Multiple Linear Regression,0.8243584790158744,42147.97777407428,205.2997266780311
Decision Tree,0.8513529544668991,35670.22385257751,188.86562379792016
Random Forest,0.9063743679440532,22466.960186107437,149.88982682659767
Gradient Boosting,0.931306828697959,16484.019502033225,128.39010671400357
XGBoost,0.9220352411492914,18708.884464156523,136.78042427246862
